,Parameters,Depth,Embedding Dim,num_compressed_tokens,bottleneck_locs,bottleneck_size,bottleneck,Mean (ms),Median (ms),IQR (ms)
0,115046400,12,768,8,1,3,conv_bottleneck,27.891391774127175,27.86109301086981,0.27597998996498063
1,115046400,12,768,16,1,3,conv_bottleneck,30.29396584822313,30.286059499485418,0.05240269892965374
2,115046400,12,768,32,1,3,conv_bottleneck,35.25101340535847,35.28152700164355,0.2772779916995205
3,115046400,12,768,64,1,3,conv_bottleneck,45.91380548006523,45.8867650013417,0.10695850505726412
4,115046400,12,768,128,1,3,conv_bottleneck,67.01733658337616,67.0088865008438,0.2420522469037678
5,115046400,12,768,8,2,3,conv_bottleneck,35.05921702165773,35.056769993389025,0.3647859994089231
6,115046400,12,768,16,2,3,conv_bottleneck,37.2154794935933,37.272814006428234,0.2503890063962899
7,115046400,12,768,32,2,3,conv_bottleneck,41.561370793008614,41.564612998627126,0.14733499847352505
8,115046400,12,768,64,2,3,conv_bottleneck,51.37945201950527,51.33506249694619,0.12893075472675264
9,115046400,12,768,128,2,3,conv_bottleneck,70.83260577774207,70.88379201013595,0.2777359914034605
10,115046400,12,768,8,3,3,conv_bottleneck,41.94514181648371,41.966617995058186,0.1552574976813048
11,115046400,12,768,16,3,3,conv_bottleneck,43.885141251754405,43.89231000095606,0.12735099153360352
12,115046400,12,768,32,3,3,conv_bottleneck,47.826302256085214,47.83883850177517,0.22280699704424478
13,115046400,12,768,64,3,3,conv_bottleneck,56.47094966925707,56.464900000719354,0.1434699988749344
14,115046400,12,768,128,3,3,conv_bottleneck,74.58025635140883,74.62632999522611,0.24178699459298514
15,115046400,12,768,8,4,3,conv_bottleneck,48.685847224833466,48.66821999894455,0.1912199950311333
16,115046400,12,768,16,4,3,conv_bottleneck,50.43662840904266,50.419218008755706,0.2406785060884431
17,115046400,12,768,32,4,3,conv_bottleneck,54.08251997957721,53.98927050555358,0.3260147605033126
18,115046400,12,768,64,4,3,conv_bottleneck,63.12722870775253,63.00698699487839,1.163875000202097
19,115046400,12,768,128,4,3,conv_bottleneck,78.91292791164769,78.87452500290237,1.3210524994065054
20,115046400,12,768,8,5,3,conv_bottleneck,56.39520430296715,56.3286765027442,1.4570962594007142
21,115046400,12,768,16,5,3,conv_bottleneck,58.10406902215302,58.178954997856636,1.816271491406951
22,115046400,12,768,32,5,3,conv_bottleneck,60.99774126502752,60.90806849533692,1.2998374913877342
23,115046400,12,768,64,5,3,conv_bottleneck,67.60271378947391,67.45094001234975,0.22661301045445725
24,115046400,12,768,128,5,3,conv_bottleneck,82.32446189756548,81.89430449419888,1.3344760009204037
25,115046400,12,768,8,6,3,conv_bottleneck,62.48116120120759,62.30767899251077,0.3536449949024245
26,115046400,12,768,16,6,3,conv_bottleneck,64.49383499985561,64.2793500010157,1.2770760076818988
